municipality,county,dialect
Oslo,Oslo,Oslo
Eigersund,Rogaland,Sørvestlandsk
Stavanger,Rogaland,Sørvestlandsk
Haugesund,Rogaland,Sørvestlandsk
Sandnes,Rogaland,Sørvestlandsk
Sokndal,Rogaland,Sørvestlandsk
Lund,Rogaland,Sørvestlandsk
Bjerkreim,Rogaland,Sørvestlandsk
Hå,Rogaland,Sørvestlandsk
Klepp,Rogaland,Sørvestlandsk
Time,Rogaland,Sørvestlandsk
Gjesdal,Rogaland,Sørvestlandsk
Sola,Rogaland,Sørvestlandsk
Randaberg,Rogaland,Sørvestlandsk
Strand,Rogaland,Sørvestlandsk
Hjelmeland,Rogaland,Sørvestlandsk
Suldal,Rogaland,Sørvestlandsk
Sauda,Rogaland,Sørvestlandsk
Kvitsøy,Rogaland,Sørvestlandsk
Bokn,Rogaland,Sørvestlandsk
Tysvær,Rogaland,Sørvestlandsk
Karmøy,Rogaland,Sørvestlandsk
Utsira,Rogaland,Sørvestlandsk
Vindafjord,Rogaland,Sørvestlandsk
Kristiansund,Møre og Romsdal,Uttrondsk
Molde,Møre og Romsdal,Nordvestlandsk
Ålesund,Møre og Romsdal,Nordvestlandsk
Vanylven,Møre og Romsdal,Nordvestlandsk
Sande,Møre og Romsdal,Nordvestlandsk
Herøy,Nordland,Helgelandsk
Ulstein,Møre og Romsdal,Nordvestlandsk
Hareid,Møre og Romsdal,Nordvestlandsk
Ørsta,Møre og Romsdal,Nordvestlandsk
Stranda,Møre og Romsdal,Nordvestlandsk
Sykkylven,Møre og Romsdal,Nordvestlandsk
Sula,Møre og Romsdal,Nordvestlandsk
Giske,Møre og Romsdal,Nordvestlandsk
Vestnes,Møre og Romsdal,Nordvestlandsk
Rauma,Møre og Romsdal,Nordvestlandsk
Aukra,Møre og Romsdal,Nordvestlandsk
Averøy,Møre og Romsdal,Uttrondsk
Gjemnes,Møre og Romsdal,Nordvestlandsk
Tingvoll,Møre og Romsdal,Uttrondsk
Sunndal,Møre og Romsdal,Uttrondsk
Surnadal,Møre og Romsdal,Uttrondsk
Smøla,Møre og Romsdal,Uttrondsk
Aure,Møre og Romsdal,Uttrondsk
Volda,Møre og Romsdal,Nordvestlandsk
Fjord,Møre og Romsdal,Nordvestlandsk
Hustadvika,Møre og Romsdal,Nordvestlandsk
Bodø,Nordland,Nordlandsk
Narvik,Nordland,Nordlandsk
Bindal,Nordland,Helgelandsk
Sømna,Nordland,Helgelandsk
Brønnøy,Nordland,Helgelandsk
Vega,Nordland,Helgelandsk
Vevelstad,Nordland,Helgelandsk
Alstahaug,Nordland,Helgelandsk
Leirfjord,Nordland,Helgelandsk
Vefsn,Nordland,Helgelandsk
Grane,Nordland,Helgelandsk
Hattfjelldal,Nordland,Helgelandsk
Dønna,Nordland,Helgelandsk
Nesna,Nordland,Helgelandsk
Hemnes,Nordland,Helgelandsk
Rana,Nordland,Helgelandsk
Lurøy,Nordland,Helgelandsk
Træna,Nordland,Helgelandsk
Rødøy,Nordland,Helgelandsk
Meløy,Nordland,Helgelandsk
Gildeskål,Nordland,Nordlandsk
Beiarn,Nordland,Nordlandsk
Saltdal,Nordland,Nordlandsk
Fauske,Nordland,Nordlandsk
Sørfold,Nordland,Nordlandsk
Steigen,Nordland,Nordlandsk
Lødingen,Nordland,Nordlandsk
Evenes,Nordland,Nordlandsk
Røst,Nordland,Nordlandsk
Værøy,Nordland,Nordlandsk
Flakstad,Nordland,Nordlandsk
Vestvågøy,Nordland,Nordlandsk
Vågan,Nordland,Nordlandsk
Hadsel,Nordland,Nordlandsk
Bø,Nordland,Nordlandsk
Øksnes,Nordland,Nordlandsk
Sortland,Nordland,Nordlandsk
Andøy,Nordland,Nordlandsk
Moskenes,Nordland,Nordlandsk
Hamarøy,Nordland,Nordlandsk
Halden,Viken,Austlandsk
Moss,Viken,Austlandsk
Sarpsborg,Viken,Austlandsk
Fredrikstad,Viken,Austlandsk
Drammen,Viken,Austlandsk
Kongsberg,Viken,Austlandsk
Ringerike,Viken,Austlandsk
Hvaler,Viken,Austlandsk
Aremark,Viken,Austlandsk
Marker,Viken,Austlandsk
Indre Østfold,Viken,Austlandsk
Skiptvet,Viken,Austlandsk
Rakkestad,Viken,Austlandsk
Råde,Viken,Austlandsk
Våler,Innlandet,Austlandsk
Vestby,Viken,Austlandsk
Nordre Follo,Viken,Austlandsk
Ås,Viken,Austlandsk
Frogn,Viken,Austlandsk
Nesodden,Viken,Austlandsk
Bærum,Viken,Austlandsk
Asker,Viken,Austlandsk
Aurskog-Høland,Viken,Austlandsk
Rælingen,Viken,Austlandsk
Enebakk,Viken,Austlandsk
Lørenskog,Viken,Austlandsk
Lillestrøm,Viken,Austlandsk
Nittedal,Viken,Austlandsk
Gjerdrum,Viken,Austlandsk
Ullensaker,Viken,Austlandsk
Nes,Viken,Midlandsk
Eidsvoll,Viken,Austlandsk
Nannestad,Viken,Austlandsk
Hurdal,Viken,Austlandsk
Hole,Viken,Austlandsk
Flå,Viken,Midlandsk
Nesbyen,Viken,Austlandsk
Gol,Viken,Midlandsk
Hemsedal,Viken,Midlandsk
Ål,Viken,Midlandsk
Hol,Viken,Midlandsk
Sigdal,Viken,Midlandsk
Krødsherad,Viken,Midlandsk
Modum,Viken,Austlandsk
Øvre Eiker,Viken,Austlandsk
Lier,Viken,Austlandsk
Flesberg,Viken,Midlandsk
Rollag,Viken,Midlandsk
Nore og Uvdal,Viken,Midlandsk
Jevnaker,Viken,Austlandsk
Lunner,Viken,Austlandsk
Kongsvinger,Innlandet,Austlandsk
Hamar,Innlandet,Austlandsk
Lillehammer,Innlandet,Austlandsk
Gjøvik,Innlandet,Austlandsk
Ringsaker,Innlandet,Austlandsk
Løten,Innlandet,Austlandsk
Stange,Innlandet,Austlandsk
Nord-Odal,Innlandet,Austlandsk
Sør-Odal,Innlandet,Austlandsk
Eidskog,Innlandet,Austlandsk
Grue,Innlandet,Austlandsk
Åsnes,Innlandet,Austlandsk
Elverum,Innlandet,Austlandsk
Trysil,Innlandet,Austlandsk
Åmot,Innlandet,Austlandsk
Stor-Elvdal,Innlandet,Austlandsk
Rendalen,Innlandet,Austlandsk
Engerdal,Innlandet,Austlandsk
Tolga,Innlandet,Austlandsk
Tynset,Innlandet,Austlandsk
Alvdal,Innlandet,Austlandsk
Folldal,Innlandet,Austlandsk
Os,Innlandet,Austlandsk
Dovre,Innlandet,Midlandsk
Lesja,Innlandet,Midlandsk
Skjåk,Innlandet,Midlandsk
Lom,Innlandet,Midlandsk
Vågå,Innlandet,Midlandsk
Nord-Fron,Innlandet,Midlandsk
Sel,Innlandet,Midlandsk
Sør-Fron,Innlandet,Midlandsk
Ringebu,Innlandet,Midlandsk
Øyer,Innlandet,Midlandsk
Gausdal,Innlandet,Midlandsk
Østre Toten,Innlandet,Austlandsk
Vestre Toten,Innlandet,Austlandsk
Gran,Innlandet,Austlandsk
Søndre Land,Innlandet,Austlandsk
