Informant-ID,Fødselsår,Kjønn (M/K),Yrke,Høyeste grad/utdanning,Viktigste sted(er) for talemåte,Alder flyttet til sted,Evt. kommentarer til flytting,Kommune,"Antall foreldre som snakker samme dialekt (0, 1 eller 2)",Din beskrivelse av dialekten på stedet du komme fra,Er du representativ dialektbruker?,Høyde (cm),Vekt (kg) (frivillig),Unnamed: 14,Opptakssted,Tekniske kommentarer til opptaket,Språklige kommentarer til opptaket,Kommentarer til opptak og lesing/uttale,Etnisitet,Fødeland,Alder flyttet fra fødeland:,Alder flyttet til Norge:,Nåværende bosted i Norge:,Eventuelle tidligere bosted i Norge:,Hvilke steder snakker du norsk? (Sett ring rundt riktig alternativ): 1) Daglig 2) 3-5 dager i uka 3) 1-2 dager i uka 4) Ikke ukentlig,Hvilke steder snakker du norsk (sett ring rundt minst ett alernativ):  1) Hjemme 2) På fritiden utenfor hjemmet 3) På jobb/ skole,Høyeste norsk-kurs (fullført årstall):,Dialekt
p2_g13_f0_1_t,1969.0,K,Rådgiver,Dr.grad,"Jobb, hjem, nabolaget/ fritidsarena",,,,,,,156.0,62.0,,NTNU,p2_g13_f0_1_t,"klarte ikke å si u, så ""høgskulen"" o.l. leses med o.",,Asiatisk,Sinhalesisk,21,21,Ranheim/ Trondheim,,1.0,"1,2 og 3",1991 - trinn 3,Utenlandsk
p2_g13_f0_2_t,1984.0,K,Student,Videregående skole,"Venner/ frivilligarbeid, naboer, skole",,,,,,,176.0,67.0,,NTNU,"Lyden ble litt lav, men opptaket ble bra, så lot det være.",,,Asiatisk,"Engelsk, hindi, farsi",16,16,Trondheim,,1.0,2 og 3,Videregående skole,Utenlandsk
p2_g13_f0_3_x,1988.0,K,Student,MSC,Norskkurs,,,,,,,161.0,64.0,,NTNU,Varierte i volum fra setning til setning og flyttet en del på seg underveis. Volum dermed ikke perfekt...,,,Europeisk,Gresk,24,24,Trondheim,,3.0,3,Trinn 2 (2013),Utenlandsk
p2_g13_m0_1_t,1989.0,M,Student,1. år (Mastergrad),,,,,,,,154.0,,,NTNU,Opptak gjort med døren oppe. Volumnivået hos innleseren varierte fra setning til setning.,Kunne ikke si /S/,,(Nepali),Nepali,3,19,Trondheim,Haugesund,1.0,,2013,Utenlandsk
p2_g13_m0_2_t,1986.0,M,Phd student,Phd,Norskkurs,,,,,,,180.0,172.0,,NTNU,Varierte voldsomt i volum fra setning til setning. Prøvde å stille lyd etter hvert.,"108: Jenna lest med /j/. 106: Klarte ikke avslutte ordet ""detalj"" med /j/, så vi lot ham slenge på en liten /@/ for å få til /j/-en. Hadde også en tendens til å erstatte /k/ med /c__C/; vi tok mye om igjen, men det er mulig noe har unnsluppet oss.",,Europeisk,Gresk,25,25,Trondheim,,2.0,3,Trinn 3 (vår 2013),Utenlandsk
p2_g13_m0_3_x,1979.0,M,Stipendiat,M.S.c (physics),"Med mine naboer, på jobb, på butikk",,,,,,,179.0,82.0,,NTNU,,Hadde problemer med å si /j/ i starten av ord. Tok mange omtak.,,Asiatisk,Tamil,25,28,Trondheim,,4.0,2,Trinn 3,Utenlandsk
p2_g13_n0_1_t,1978.0,K,,Master,Kurs,,,,,,,150.0,65.0,,NTNU,Lyden måtte justeres opp er par ganger under opptakene.,,,Asiatisk (sør-øst),Indonesisk,18 ???,32,Trondheim,,2.0,2 og 3,Trinn 4,Utenlandsk
p2_g13_n0_2_t,1979.0,K,Sivilingeniør,MSC,Hjemme og jobb,,,,,,,161.0,60.0,,NTNU,,"Sammensatte ord ble veldig ofte delt opp, og innleser sleit en del med å få riktig vokaler.",,Asiatisk,"Bahasa Indonsia, Javanesisk",25,25,Trondheim,Ski,1.0,1 og 3,Norskprøve 3 (2008),Utenlandsk
p2_g13_n0_3_t,1983.0,K,Programutvikler,Bachelor (IT),"I barnehagen, på kontoret og på skole",,,,,,,157.0,,,NTNU,"feilmelding 2 ganger, satt litt urolig, måtte fikse på mikken litt.","Innleser slet mye med sj,skj så hun uttalte bare ""s"" istedet, slet også med ø,u, uttalte p istedet for f og når ph stod sammen ble dette ofte til f.",Omtaket ble spilt inn som testsetning pga feil i filnavnet til setningen som gjorde at filen ikke ble lagret. Filen ligger lagret under -øøø- på Dropbox.,Asiatisk,"Oruya, Hindi (India)",26,26,Trondheim,,1.0,3,Trinn 3 (2013),Utenlandsk
p2_g13_n0_4_x,1978.0,K,Hjemmeværende,Mastergrad,"Venner (på sms/ facebook), når jeg er ute/ handle mat, osv, moskè/ søstertreff",,,,,,,153.0,44.0,,NTNU,,Slet med O/U og V ble ofte uttalt med en slags vf-lyd. Innleser slet også med k og t på slutten av ord.,,Asiatisk,"indonesisk, minangkabau",29,29,Trondheim,,3.0,2,"Trinn 4, 2011",Utenlandsk
