old_muni,new_muni,old_county,new_county,named_dialect,numeric_dialect
Risør,Risør,Aust-Agder,Agder,Sørlandsk,20
Grimstad,Grimstad,Aust-Agder,Agder,Sørlandsk,20
Arendal,Arendal,Aust-Agder,Agder,Sørlandsk,20
Kristiansand,Kristiansand,Vest-Agder,Agder,Sørlandsk,19
Songdalen,Kristiansand,Vest-Agder,Agder,Sørlandsk,19
Søgne,Kristiansand,Vest-Agder,Agder,Sørlandsk,19
Mandal,Lindesnes,Vest-Agder,Agder,Sørlandsk,19
Marnardal,Lindesnes,Vest-Agder,Agder,Sørlandsk,19
Lindesnes,Lindesnes,Vest-Agder,Agder,Sørlandsk,19
Farsund,Farsund,Vest-Agder,Agder,Sørvestlandsk,19
Flekkefjord,Flekkefjord,Vest-Agder,Agder,Sørvestlandsk,19
Gjerstad,Gjerstad,Aust-Agder,Agder,Sørlandsk,20
Vegårshei,Vegårshei,Aust-Agder,Agder,Sørlandsk,20
Tvedestrand,Tvedestrand,Aust-Agder,Agder,Sørlandsk,20
Froland,Froland,Aust-Agder,Agder,Sørlandsk,20
Lillesand,Lillesand,Aust-Agder,Agder,Sørlandsk,20
Birkenes,Birkenes,Aust-Agder,Agder,Sørlandsk,20
Åmli,Åmli,Aust-Agder,Agder,Sørlandsk,20
Iveland,Iveland,Aust-Agder,Agder,Sørlandsk,20
Evje og Hornnes,Evje og Hornnes,Aust-Agder,Agder,Sørlandsk,20
Bygland,Bygland,Aust-Agder,Agder,Sørlandsk,20
Valle,Valle,Aust-Agder,Agder,Sørlandsk,20
Bykle,Bykle,Aust-Agder,Agder,Sørlandsk,20
Vennesla,Vennesla,Vest-Agder,Agder,Sørlandsk,19
Åseral,Åseral,Vest-Agder,Agder,Sørvestlandsk,19
Audnedal,Lyngdal,Vest-Agder,Agder,Sørvestlandsk,19
Lyngdal,Lyngdal,Vest-Agder,Agder,Sørvestlandsk,19
Hægebostad,Hægebostad,Vest-Agder,Agder,Sørvestlandsk,19
Kvinesdal,Kvinesdal,Vest-Agder,Agder,Sørvestlandsk,19
Sirdal,Sirdal,Vest-Agder,Agder,Sørvestlandsk,19
Alvdal,Alvdal,Hedmark,Innlandet,Østlandsk,21
Dovre,Dovre,Oppland,Innlandet,Midlandsk,21
Eidskog,Eidskog,Hedmark,Innlandet,Østlandsk,21
Elverum,Elverum,Hedmark,Innlandet,Østlandsk,21
Engerdal,Engerdal,Hedmark,Innlandet,Østlandsk,21
Etnedal,Etnedal,Oppland,Innlandet,Midlandsk,21
Folldal,Folldal,Hedmark,Innlandet,Østlandsk,21
Gausdal,Gausdal,Oppland,Innlandet,Midlandsk,21
Gjøvik,Gjøvik,Oppland,Innlandet,Østlandsk,21
Gran,Gran,Oppland,Innlandet,Østlandsk,21
Grue,Grue,Hedmark,Innlandet,Østlandsk,21
Hamar,Hamar,Hedmark,Innlandet,Østlandsk,21
Kongsvinger,Kongsvinger,Hedmark,Innlandet,Østlandsk,21
